input | output
I am testing something, no limit | deleteMessage channel[0] member[1] limit(None) reason("I am testing something")
delete all messages sent by me | sendMessage("Please provide a reason for deleting those messages, and a limit")
I am testing something, no limit | deleteMessage channel[1] member[1] limit(None) reason("I am testing something")
make the following channel private | sendMessage("Please provide me with the channels")
RN | updateChannel["RN"] role["everyone"] removePermissons["read_messages"]
let everyone access the following channel DF | updateChannel["DF"] role["everyone"] addPermissons["read_messages"]
Let the role gost access the following channel DF | updateChannel["DF"] role["gost"] addPermissons["read_messages"]
give member permission to add attachements in the following channel DF | updateChannel["DF"] role["everyone"] addPermissons["attach_files"]
remove sali permission to send message in the following channel DF and gost | updateChannel["DF", "gost"] role["sali"] removePermissons["send_messages", "send_messages_in_threads"]
reverse WAssap channel to private | updateChannel["WAssap"] role["everyone"] removePermissons["read_messages"]
add the role admin to the following channel DF | updateChannel["DF"] role["admin"] addPermissons["read_messages"]
remove the role ldfg to ali | editMember["ali"] removeRole["ldfg"]
add the role ldfg to ali | editMember["ali"] addRole["ldfg"]
mute ali | editMember["ali"] mute
unmute ali | editMember["ali"] unmute
ban ali | sendMessage("Please provide a reason")
He insulted another member. | editMember["ali"] ban reason("He insulted another member.")
kick ali | sendMessage("Please provide a reason")
He insulted another member. | editMember["ali"] kick reason("He insulted another member.")
Timeout ali | sendMessage("Please provide a reason and duration options are: 60 SECS, 5 MINS, 10 MINS, 1 HOUR, 1 DAY, and 1 WEEK")
He insulted another member. 1 HOUR | editMember["ali"] timeout duration("1 HOUR") reason("He insulted another member.")
mute ali soundboard | editMember["ali"] muteSoundBoard
unmute ali soundboard | editMember["ali"] unmuteSoundBoard
ban ali and delete the last messages he sent, he doesn't follow the rules | sendMessage("Please be precise for the message deletion part options are: Previous Hour, Previous 6 Hours, Previous 12 Hours, Previous 24 Hours, Previous 3 Days Previous 7 Days")
Previous 24 Hours | editMember["ali"] ban reason("he doesn't follow the rules") deleteMessage("Previous 24 Hours")
ban ali, he doesn't follow the rules | editMember["ali"] ban reason("he doesn't follow the rules")
kick ali | sendMessage("Please provide a reason")
He insulted another member. | editMember["ali"] kick reason("He insulted another member")
kick legarsolo | sendMessage("Please provide a reason")
He insulted another member. | editMember["legarsolo"] kick reason("He insulted another member.")
delete all message ali sent in channel test, and messages sam sent in channel farl | sendMessage("Please provide a reason for deleting those messages, and a limit")
The member sent too many messages in a short period of time, no limit for ali and 30 for sam | deleteMessage channel["test"] member["ali"] limit(None) reason("The member sent too many messages in a short period of time."), deleteMessage channel["farl"] member["sam"] limit(30) reason("The member sent too many messages in a short period of time.") 
delete all messages ali and sam sent in channel test, they are being disrespectful | sendMessage("Please provide a limit")
10 | deleteMessage channel["test"] member["ali", "sam"] limit(10) reason("they are being disrespectful")
delete the last 20 messages ali sent in channel farl, and the last 10 messages sam sent in channel test. They are being disrespectful | deleteMessage channel["farl"] member["ali"] limit(20) reason("They are being disrespectful"), deleteMessage channel["test"] member["sam"] limit(10) reason("They are being disrespectful")
I would like for you to delete all messages sent here | sendMessage("Please provide a reason for deleting those messages, and a limit")
The member sent too many messages in a short period of time, no limit | deleteMessage channel[1] limit(None) reason("The member sent too many messages in a short period of time.")
delete all messages sent here | sendMessage("Please provide a reason for deleting those messages, and a limit")
The member sent too many messages in a short period of time, no limit | deleteMessage channel[1] limit(None) reason("The member sent too many messages in a short period of time.")
Hi wali, how are you ? | sendMessage("Hi there! I'm doing well, thank you. How can I help you today?")
kick <@644988173428064266> | sendMessage("Please provide a reason")
He is not following the rules | editMember[644988173428064266] kick reason("He is not following the rules")
delete message sent by 1234567890, member is spamming | sendMessage("Please provide a limit")
10 | deleteMessage channel[1] member[1234567890] limit(10) reason("member is spamming")
delete messages in all channels before 12 March 2024, cleaning up | sendMessage("Please provide a limit")
100 | deleteMessage channel[0] before(2024-03-12 00:00:00) limit(100) reason("cleaning up")
delete last 50 messages in channel general, member is flooding | deleteMessage channel["general"] limit(50) reason("member is flooding")
delete message 9876543210, violation of rules | deleteMessage[9876543210] reason("violation of rules")
remove role moderator from member 1122334455 | editMember[1122334455] removeRole["moderator"]
add role admin to member 1122334455 | editMember[1122334455] addRole["admin"]
ban member 9988776655, spamming in multiple channels | editMember[9988776655] ban reason("spamming in multiple channels")
delete all messages from member 9988776655 in channel general, no limit | sendMessage("Please provide a reason for deleting those messages")
member is continuously spamming | deleteMessage channel["general"] member[9988776655] limit(None) reason("member is continuously spamming")
kick member 4433221100, inappropriate behavior | editMember[4433221100] kick reason("inappropriate behavior")
timeout member 3344556677 for 5 mins, offensive language | editMember[3344556677] timeout duration("5 MINS") reason("member used offensive language")
delete messages from member 2233445566 containing 'spoiler', max 20, inappropriate content | deleteMessage channel[1] member[2233445566] message_contains["spoiler"] limit(20) reason("inappropriate content")
delete messages from member 5566778899 before message 9988776655, limit 15, cleanup | deleteMessage member[5566778899] before(9988776655) limit(15) reason("cleanup")
mute soundboard member 4455667788, being disruptive | editMember[4455667788] muteSoundBoard
delete all messages containing 'spam' in all channels, limit 50 | sendMessage("Please provide a reason")
removing spam content | deleteMessage channel[0] message_contains["spam"] limit(50) reason("removing spam content")
delete all messages with images in general channel, limit 30, image spam | deleteMessage channel["general"] attachement["image"] limit(30) reason("image spam")
delete messages from 20 June 2023 in all channels, no limit, cleanup | sendMessage("Please provide a reason")
cleanup required | deleteMessage channel[0] after(2023-06-20 00:00:00) limit(None) reason("cleanup required")
delete messages with videos in channel media, limit 10, media cleanup | deleteMessage channel["media"] attachement["video"] limit(10) reason("media cleanup")
unmute soundboard member 1122334455 | editMember[1122334455] unmuteSoundBoard
add role moderator to member 5566778899 | editMember[5566778899] addRole["moderator"]
remove role guest from member 9988776655 | editMember[9988776655] removeRole["guest"]
delete all messages from 1231231231 and 3213213213 in all channels, they are spamming | sendMessage("Please provide a limit")
no limit | deleteMessage channel[0] member[1231231231, 3213213213] limit(None) reason("they are spamming")
delete last 15 messages from member 2342342342 in channel rules, they are breaking rules | deleteMessage channel["rules"] member[2342342342] limit(15) reason("they are breaking rules")
ban ali and delete all messages he sent, he is insulting others | sendMessage("Please be precise for the message deletion part options are: Previous Hour, Previous 6 Hours, Previous 12 Hours, Previous 24 Hours, Previous 3 Days Previous 7 Days")
Previous 24 Hours | editMember["ali"] ban reason("he is insulting others") deleteMessage("Previous 24 Hours")
ban ali, he is insulting others | editMember["ali"] ban reason("he is insulting others")
kick ali, duration 1 day, he is being disrespectful | editMember["ali"] kick duration("1 DAY") reason("he is being disrespectful")
ban ami and delete all the message she sent, she didn't follow the rules | sendMessage("Please be precise for the message deletion part options are: Previous Hour, Previous 6 Hours, Previous 12 Hours, Previous 24 Hours, Previous 3 Days Previous 7 Days")
Previous 3 Days | editMember["ami"] ban reason("she didn't follow the rules") deleteMessage("Previous 3 Days")
Timeout ali for 24h hours he deidn't respect the rules | editMember["ali"] timeout duration("1 DAY") reason("he didn't respect the rules")
ban alex and delete all the message he sent, he didn't follow the rules | sendMessage("Please be precise for the message deletion part options are: Previous Hour, Previous 6 Hours, Previous 12 Hours, Previous 24 Hours, Previous 3 Days Previous 7 Days")
24h | editMember["alex"] ban reason("he didn't follow the rules") deleteMessage("Previous 24 Hours")
ban pierre and delete the messages he sent in the last 6h | sendMessage("Please provide a reason")
He is being disrespectful | editMember["pierre"] ban reason("He is being disrespectful") deleteMessage("Previous 6 Hours")
kick chabrier for 3h | sendMessage("Please provide a reason")
He is being disrespectful | editMember["chabrier"] kick reason("He is being disrespectful") 
timeout <@644988173428064266> for 3h , being disrespectful | sendMessage("valid timeout duration are 60 SECS, 5 MINS, 10 MINS, 1 HOUR, 1 DAY, and 1 WEEK")
3h | sendMessage("valid timeout duration are: 60 SECS, 5 MINS, 10 MINS, 1 HOUR, 1 DAY, and 1 WEEK")
1h | editMember[644988173428064266] timeout duration("1 HOUR") reason("being disrespectful")
ban <@644988173428064266> , and all the message he sent in the last days | sendMessage("Please provide a reason, and valid options for message deletion when banning a user are: Previous Hour, Previous 6 Hours, Previous 12 Hours, Previous 24 Hours, Previous 3 Days, Previous 7 Days")
He is being disrespectful | editMember[644988173428064266] ban reason("He is being disrespectful")
ban <@644988173428064266> , and all the message he sent in the last days, he didn't follow the rules | sendMessage("Valid options for message deletion when banning a user are: Previous Hour, Previous 6 Hours, Previous 12 Hours, Previous 24 Hours, Previous 3 Days, Previous 7 Days")
Previous 3 days | editMember[644988173428064266] ban reason("he didn't follow the rules") deleteMessage("Previous 3 Days")
delete all the message ali sent and ban him |  sendMessage("Please provide a limit and reason for deleting the messages, and the reason for banning him")
limit none, he is being disrespectful | deleteMessage channel[1] member["ali"] limit(None) reason("he is being disrespectful"), editMember["ali"] ban reason("he is being disrespectful")
ban ali and delete all the messages he sent | sendMessage("What is the reason, and be precise for the message deletion part options are: Previous Hour, Previous 6 Hours, Previous 12 Hours, Previous 24 Hours, Previous 3 Days Previous 7 Days")
He broke the rules 3 times, previous 24h | editMember["ali"] ban reason("He broke the rules 3 times") deleteMessage("Previous 24 Hours")
